slug	direct	with_descendants	parent	alias_of	description
synergy-kicker	15	15			
synergy-sacrifice-self	15	15	sacrifice-matters		When *I* am sacrificed...
synergy-spacecraft	15	15			
theft-ownership	15	15			
token-without-a-card	15	15			No cards make these tokens, probably due to errata.
tutor-creature-dragon	15	15	tutor-creature		Cards that tutor Dragon creature cards.
unstoppable	15	15			Assign combat damage as though the creature weren't blocked. Also known as super-trample. See also [gives unstoppable](gives-unstoppable).
booster-tutor	14	14	wish		Cards, usually acorn cards, that have you open booster packs to add into the game.
burn-self	14	14	burn-creature		Creatures deal damage to themselves.
conditional-aura	14	14			Auras that have a different effect depending on what is being enchanted.
conjure-to-graveyard	14	14	conjure		Cards that conjure cards into graveyards.
exo-storyline-in-cards	14	14			
flavor-text-matters	14	14	un-set-mechanics		
gives-banding	14	14			
gives-convoke	14	14	tap-fuel-creature		
gives-player-protection	14	14	protection		
gives-shadow	14	14	gives-evasion		
hate-colorless	14	14			Hate on colorless cards. See also [hate-color](/tags/card/hate-color) for color hate.
hate-monocolor	14	14	hate-color		
lich-effect	14	14			Effects which turn damage into the loss of cards or permanents. See also [Deal with the devil](/tags/card/deal-with-the-devil)
mana-gorger	14	14	cast-trigger		Cards that grow bigger when players cast spells.
planechase-mechanic	14	14			
reach-counter	14	14	keyword-counter		
removes-defender	14	14			
roman-numeral	14	14	card-names		Cards with a roman numeral in the name.
skip-turn	14	14			Someone skips a turn. See also [prevent extra turns](/tags/card/prevent-extra-turns).
synergy-attraction	12	14			
synergy-flashback	14	14			
theft-spell	14	14	theft		
typal-doctor	14	14	typal-creature		
typal-insect	13	14	typal-creature		
typal-minotaur	14	14	typal-creature		
typal-rebel	14	14	typal-creature		
typal-shaman	14	14	typal-creature		
vigor-effect	14	14			Turn damage into +1/+1 counters.
affinity-undergrowth	13	13	affinity-for-graveyard		Affinity which cares about how many creatures are in your graveyard.
banish-hand	13	13	banish		Exile one or more cards from a player's hand as long as this remains in play.
compulsive-research	13	13	discarded-type-matters		Cards with a function of "draw N cards, then discard 2 unless you discard [type]"
counterspell-free	13	13	counterspell		Counterspells that can be cast right now with no mana cost (even if they might incur some alternate/later cost).
eternalize-token	13	13			
flicker-nonland	13	13	flicker-planeswalker		Flicker effects that work on all permanent types other than land.
gains-fear	13	13	evasion		
gives-ingest	13	13			
gives-stalking	13	13	green-effect		Cards that make creatures only be blockable by no more than one creature, also known as "[stalking](stalking)".
hate-free-spell	13	13	hate		
hate-typal-human	13	13	hate-typal		
howlgeist-ability	13	13	scales-with-power		Creatures with lesser power can't block these creatures.
hunger	13	13	hunger-trigger		Creatures dying to this one make this one grow stronger. Coined by Maro: http://markrosewater.tumblr.com/post/178364542148
loner	13	13			Cards that want you to have only one creature, or creatures that want to be the only creature a player controls
mana-abilities-matter	13	13			
mechanical-foreshadow	13	13			Cards that refer to another card, card type, or named mechanic that was not yet in the game (or sometimes later in Standard's rotation) until a later product's release.
nonfunctional-reminder-counter	13	13	indefinite-effect		Effects that last forever tracked with a nonfunctional reminder counter, such that removing the counter makes no functional change to the tracked effect. See also [functional reminder counter](/tags/card/functional-reminder-counter).
pile	13	13			Effects that make you put things in a pile for selection/grouping purposes
pseudo-equipment	13	13	deprecated-mechanics		Before Equipment arrived in Mirrodin, WotC experimented with a number of effects that granted boosts that stuck but could be transferred.
relentless	13	13			Cards you can have more than the usual number of in your deck.
rule-of-law	13	13			Cards that limit the number of spells a player can cast each turn.
super-menace	13	13	evasion		Because you can get more menacing than menace.
synergy-cave	13	13			
synergy-ring	13	13			
turns-off-defender	13	13			Turn your defender into an attacker with this one weird trick!
turns-taken-matter	13	13			
typal-frog	13	13	typal-creature		
typal-mouse	13	13	typal-creature		
typal-wall	13	13	typal-creature		
watermark-matters	13	13	un-set-mechanics		
animate-enchantment	12	12	animate		Cards that can turn other noncreature enchantments into creatures.
block-unlimited	12	12	block-additional		Block an unlimited, or practically unlimited, number of creatures.
bottom-of-library-matters	12	12			
bounty	12	12			
change-name	12	12	text-change		Cards that change the name of themselves or other cards.
coin-flips-matter	12	12			
counter-preservation	12	12	counters-matter		When something else leaves, put its counters on another thing
counterspell-tuck	12	12	tuck		Counter a spell by putting it into its owner's library.
creature-type-townsfolk	12	12			
cycle-zodiac-creature	12	12	cycle		
fling-self	12	12	martyr		Sacrifice this creature to deal its power in damage. See also [bombard-self](/tags/card/bombard-self), [fling](fling).
four-loyalty-abilities	12	12			
fractional-power-toughness	12	12	non-integer		Cards that have ½ power/toughness, or grant it
fulfilled-futureshift	12	12			This card was initially futureshifted, and has now received its proper print in its future expansion.
fungusaur-effect	12	12	enrage		Damage dealt to a creature causes it to gain counters. (It must survive the damage to get the counters.) See also [vigor effect](vigor-effect).
gives-charge-counter	12	12			
greed-ability	12	12	life-for-cards		Pay life and mana to draw cards.
hate-colored	12	12	hate-color		Color hate for cards that are any color at all.
hate-shadow	12	12	hate		
landslow	12	12			Cards that prevent or otherwise limit the lands one can play
lose-trigger	12	12	triggered-ability		Cards that trigger when an opponent loses the game (as opposed a replacement effect for yourself).
pillage-effect	12	12			Cards that loot/rummage and create Treasure(s).
platinum-angel-effect	12	12	prevents-win-loss		Cards that stop you specifically from losing while preventing your opponents from winning.
pseudo-dethrone	12	12			Cards that give benefits if their owner is attacking the opponent/player with the highest life total
quietus-effect	12	12	saboteur		Get hit and lose a sizeable fraction of your life.
removes-indestructible	12	12			
seek-land-any	12	12	seek-land		
sol-land	12	12			Lands that mimic the mana ability of Sol Ring: add two colorless mana.
substance	12	12	triggers-at-cleanup-step		Substance is an obsolete static ability that has no effect at all. It existed briefly only as a technical detail to support implementing a few cards in Magic Online's Mirage release.
synergy-bounce	12	12			
synergy-land-graveyard	12	12			Triggered Abilities that trigger whenever a land card hits the graveyard from anywhere (library, hand, battlefield etc)
typal-bat	12	12	typal-creature		
typal-dog	12	12	typal-creature		
typal-lizard	12	12			
un-color	12	12	un-set-mechanics		Colors that don't exist in black border, like gold or pink.
x-doesn-t-matter	12	12			Cards that don't explicitly care about the value of the {X} in their costs (usually because [mana spent matters](mana-spent-matters) in some other way).
combat-arbiter	11	11	combat-manipulation		Cards that limit how many can attack and/or block in some way.
commander-tax-evasion	11	11	commander-matters		Don't pay the {2}, become a tax evader! These effects replace, discount, or eliminate commander tax.
conjure-card	11	11	conjure		Cards that conjure cards of unknown type or of any type of card.
control-blocker	11	11	combat-manipulation		
copy-nonland	11	11	copy-enchantment		Effects that allow you to copy permanents of any type except for land.
counter-fuel-mm	11	11	removes-mm-counters		
cycle-rav-mmn	11	11	cycle		
distinct-echo-cost	11	11			Cards where the echo cost is different from the casting cost
eminence	11	11			An ability that works either in the command zone or on the battlefield, introduced by the tribal leaders of Commander 2017.
gives-exalted	11	11	synergy-solo-attack		
gives-forestwalk	11	11	gives-landwalk		
gives-islandwalk	11	11	gives-landwalk		
hate-typal-elf	11	11	hate-typal		
hate-typal-vampire	11	11	hate-typal		
heckbent	11	11	hand-size-matters		Effects that care about having one or fewer cards in hand.
impulse-artifact-equipment	11	11	impulse-artifact		
invitational-card	11	11			Cards designed by players who won Invitationals. The original print traditionally features the winning player. See also [Player Spotlight](player-spotlight).
mob-name	11	11	card-names		
nevermore	11	11	prevent-cast		Cards with a certain name can't be cast. See also [lobotomy](/tags/card/lobotomy), where certain cards can't be exist.
phyrexian-token	11	11			These tokens had Phyrexian variants added in Modern Horizons 2 errata.
prevent-put-counter	11	11	hate-counters		Cards that limit the number of counters placed on permanents or players.
pseudo-cycling	11	11	activate-from-hand		Cards that discard themselves to achieve a similar function to cycling, but aren't cycling.
recurring-suspend	11	11	exile-on-resolution		Cards that have suspend and, upon resolving, suspend themselves once more.
removes-hexproof	11	11			
restock-instant	11	11	restock		Effects that put an instant back in your library from the graveyard.
restock-sorcery	11	11	restock		Effects that put a sorcery back in your library from the graveyard.
skip-untap-step	11	11	phase-manipulation		
speed-matters	11	11			Effects that care about speed directly, other than max speed.
synergy-full-hand	11	11			
theft-planeswalker	11	11	theft		
tribute	11	11	opponent-chooses		Collection tag used to apply the various tags that comprise the keyword Tribute. Should be 1:1 with kw:tribute.
turn-control	11	11			Cards that make one player control another player's turn, either for the entire turn or for specific times during that turn.
tutor-creature-mercenary	11	11	tutor-creature		Cards that tutor Mercenary cards.
typal-golem	11	11	typal-creature		
typal-otter	11	11			
worship	11	11			Damage that would reduce your life total to less than N reduces it to N instead.
affinity-for-attacking	10	10	affinity		
affinity-for-party	10	10	synergy-party		
affinity-for-spells	10	10	affinity-for-graveyard		Costs 1 less to cast for each instant or sorcery card in your graveyard
clothing-matters	10	10	you-matter		
commander-identity-matters	10	10	commander-matters		Cards that care about your commander's color identity.
cone-spell	10	10			Based on Cone of Flame, these are cards with a theme of doing something three times with the values 1, 2, and 3.
cost-reducer-noncreature	10	10	cost-reducer		
counterspell-enchantment	10	10	counterspell		Counterspells that call out enchantments specifically.
creature-type-guardian	10	10			
cycle-2xm-draft-signpost	10	10	draft-signpost		
cycle-a25-draft-signpost	10	10	draft-signpost		
cycle-a25-r-two-color	10	10	cycle		
cycle-abu-dual-land	10	10	cycle-dual-land		The original dual lands from Alpha/Beta/Unlimited (ABU).
cycle-aer-draft-signpost	10	10	draft-signpost		
cycle-afr-u-legend	10	10	draft-signpost		
cycle-akh-draft-signpost	10	10	draft-signpost		
cycle-ala-u-two-color	10	10	cycle		
cycle-apc-c-two-color	10	10	cycle		
cycle-apc-r-two-color	10	10	cycle		Enemy two color rares from APC, two of each combination
cycle-apc-u-two-color	10	10	cycle		
cycle-bbd-draft-signpost	10	10	draft-signpost		
cycle-bbd-legendary-partner	10	10	cycle		
cycle-bbd-u-partner	10	10	cycle		
cycle-bfz-draft-signpost	10	10	draft-signpost		
cycle-blb-c-typal-boost	10	10	cycle		
cycle-blb-draft-signpost	10	10	draft-signpost		
cycle-blb-duo	10	10	cycle		
cycle-blb-hybrid	10	10	cycle		A cycle of 2 colour hybrid creatures from Bloomburrow.
cycle-blb-r-two-color-legend	10	10	cycle		
cycle-blb-u-typal	10	10	cycle		
cycle-block-rav-c-hybrid	10	10	cycle		
cycle-block-rav-colors-matter	10	10	cycle		
cycle-block-rav-guild-champion	10	10	cycle		
cycle-block-rav-guildmage	10	10	cycle		The guildmage cycle from the original Ravnica block. They have two activated abilities corresponding to each of their guild's colors.
cycle-block-rav-mnn	10	10	cycle		
cycle-block-rav-r-hybrid	10	10	cycle		
cycle-block-rtr-c-hybrid	10	10	cycle		
cycle-block-rtr-guild-charm	10	10	charm		
cycle-block-rtr-guildmage	10	10	cycle		The guildmage cycle from Return to Ravnica block. Each has two activated abilities corresponding to both of the guild's colors.
cycle-block-rtr-guildmaster	10	10	cycle		
cycle-block-rtr-m-multicolor	10	10	cycle		
cycle-block-rtr-off-color	10	10	cycle		
cycle-block-rtr-r-hybrid	10	10	cycle		
cycle-block-rtr-u-guild-kw	10	10	cycle		
cycle-block-rtr-u-hybrid	10	10	cycle		
cycle-block-ths-scry-land	10	10	tapland		
cycle-bro-draft-signpost	10	10	draft-signpost		
cycle-c16-m-partner	10	10	cycle		
cycle-c21-mono-legend	10	10	cycle		
cycle-clb-draft-signpost	10	10	draft-signpost		
cycle-clb-r-two-color-legend	10	10	cycle		
cycle-clb-tricolor-legend	10	10	cycle		
cycle-clb-u-background	10	10	cycle		
cycle-clu-guild-rare	10	10	cycle		
cycle-clu-r-hybrid	10	10	cycle		
cycle-clu-unc-hybrid	10	10	cycle		
cycle-cmm-draft-signpost	10	10	draft-signpost		
cycle-cmm-m-mono-legend	10	10	cycle		
cycle-cmm-r-two-color-legend	10	10	cycle		
cycle-cmm-tricolor-legend	10	10	cycle		
cycle-cmr-backward-partner	10	10	cycle		The backwards half of the draft signpost partner legends in CMR. See also [cycle-cmr-forward-partner](cycle-cmr-forward-partner).
cycle-cmr-draft-signpost	10	10	draft-signpost		
cycle-cmr-forward-partner	10	10	cycle		The forward half of the draft signpost partner legends in CMR. See also [cycle-cmr-backward-partner](cycle-cmr-backward-partner).
cycle-cmr-r-two-color	10	10	cycle		
cycle-cmr-tricolor-legend	10	10	cycle		
cycle-cn2-draft-signpost	10	10	draft-signpost		
cycle-cns-draft-signpost	10	10	draft-signpost		
cycle-cns-r-two-color	10	10	cycle		
cycle-dft-nonvehicle-signpost	10	10	cycle-dft-draft-signpost		
cycle-dft-team-captain	10	10	cycle		A cycle of legendary creatures featuring the team captains of each team participating in the second edition of the [Ghirapur Grand Prix](https://tagger.scryfall.com/tags/artwork/ghirapur-grand-prix).
cycle-dft-team-vehicle	10	10	cycle-dft-draft-signpost		
cycle-dgm-c-guild-ability	10	10	cycle		
cycle-dgm-cluestones	10	10	cycle		
cycle-dgm-draft-signpost	10	10	draft-signpost		
cycle-dgm-m-two-color	10	10	cycle		
cycle-dgm-maze-runner	10	10	cycle		
cycle-dgm-u-fuse	10	10	cycle		
cycle-dmr-draft-signpost	10	10	draft-signpost		
cycle-dmu-dual-land	10	10	tapland		
cycle-dmu-mmn-signpost	10	10	cycle-dmu-draft-signpost		
cycle-dmu-mn-signpost	10	10	cycle-dmu-draft-signpost		
cycle-dmu-r-two-color-legend	10	10	cycle		
cycle-dom-draft-signpost	10	10	draft-signpost		
cycle-dsk-r-two-color	10	10	cycle		
cycle-dsk-thirteenland	10	10	cycle-dual-land		
cycle-dual-investigate-tapland	10	10	tapland		
cycle-dual-surveil-land	10	10	tapland		
cycle-eld-hybrid	10	10	cycle-eld-draft-signpost		
cycle-eld-r-m-two-color	10	10	cycle		The ten two-color rare or mythic rare gold cards found in ELD boosters.
cycle-eld-u-two-color	10	10	cycle-eld-draft-signpost		
cycle-ema-draft-signpost	10	10	draft-signpost		
cycle-ema-r-two-color	10	10	cycle		
cycle-eoe-draft-signpost	10	10	draft-signpost		
cycle-eoe-r-two-color	10	10	cycle		
cycle-eoe-u-spacecraft	10	10	cycle		
cycle-fdn-draft-signpost	10	10	draft-signpost		
cycle-fdn-r-two-color	10	10	cycle		Two-color rares from Foundations found in Play Boosters.
cycle-fin-dual-town	10	10	tapland		
cycle-fin-r-two-color	10	10	cycle		
cycle-gtc-m-two-color	10	10	cycle		
cycle-guildgate	10	10	tapland		
cycle-hbg-draft-signpost	10	10	draft-signpost		
cycle-hbg-u-specialize	10	10	cycle		
cycle-iko-companion	10	10	cycle		
cycle-iko-draft-signpost	0	10	draft-signpost		
cycle-ima-draft-signpost	10	10	draft-signpost		
cycle-ima-r-two-color	10	10	cycle		
cycle-inr-draft-signpost	10	10	draft-signpost		
cycle-inr-r-two-color	10	10	cycle		
cycle-keyrune	10	10	cycle		
cycle-khm-legendary-signpost	10	10	cycle-khm-draft-signpost		
cycle-khm-r-saga	10	10	cycle		
cycle-khm-realm	10	10	tapland		
cycle-khm-snow-tapland	10	10	tapland		
cycle-khm-u-saga	10	10	cycle-khm-draft-signpost		
cycle-kld-draft-signpost	10	10	draft-signpost		
cycle-ktk-draft-signpost	10	10	draft-signpost		
cycle-ktk-enemy-ability	10	10	cycle		
cycle-ktk-gainland	10	10	tapland		
cycle-lci-draft-signpost	10	10	draft-signpost		
cycle-lci-r-two-color	10	10	cycle		
cycle-m19-draft-signpost	10	10	draft-signpost		
cycle-m20-draft-signpost	10	10	draft-signpost		
cycle-m21-draft-signpost	10	10	draft-signpost		
cycle-mh1-draft-signpost	10	10	draft-signpost		
cycle-mh1-r-two-color	10	10	cycle		
cycle-mh2-bridge	10	10	tapland		
cycle-mh2-c-draft-signpost	10	10	cycle-mh2-draft-signpost		
cycle-mh2-r-two-color-new	10	10	cycle		
cycle-mh2-u-draft-signpost	10	10	cycle-mh2-draft-signpost		
cycle-mh3-c-draft-signpost	10	10	cycle-mh3-draft-signpost		
cycle-mh3-landscape	10	10	fetchland		
cycle-mh3-mdfc-dual-land	10	10	tapland		
cycle-mh3-mdfc-mono-land	10	10	boltland		
cycle-mh3-r-m-two-color	10	10	cycle		
cycle-mh3-u-draft-signpost	10	10	cycle-mh3-draft-signpost		
cycle-mid-draft-signpost	10	10	draft-signpost		
cycle-mid-r-flashback	10	10	cycle		
cycle-mid-r-two-color-legend	10	10	cycle		
cycle-mid-u-flashback	10	10	cycle		
cycle-mkm-hybrid-disguise	10	10	cycle		
cycle-mkm-m-two-color	10	10	cycle		
cycle-mkm-r-2c-noncreature	10	10	cycle		
cycle-mkm-r-two-color-legend	10	10	cycle		
cycle-mkm-u-gold-noncreature	10	10	cycle-mkm-draft-signpost		
cycle-mm2-r-two-color	10	10	cycle		
cycle-mm3-r-two-color	10	10	cycle		
cycle-mom-invasion-signpost	10	10	cycle-mom-draft-signpost		
cycle-mom-two-color-team-up	10	10			
cycle-mom-u-mono-invasion	10	10	cycle		
cycle-msh-draft-signpost	10	10	draft-signpost		
cycle-msh-gainland	10	10	tapland		
cycle-msh-hybrid	10	10	cycle		
cycle-neo-draft-signpost	10	10	draft-signpost		
cycle-ogw-draft-signpost	10	10	draft-signpost		
cycle-one-draft-signpost	10	10	draft-signpost		
cycle-one-r-two-color	10	10	cycle		
cycle-ori-draft-signpost	10	10	draft-signpost		
cycle-otj-pingland	10	10	tapland		
cycle-otj-u-legend	10	10	cycle-otj-draft-signpost		
cycle-pathway	0	10	cycle-dual-land		
cycle-pls-r-two-color	10	10	cycle		
cycle-rav-backward-ability	10	10	cycle		
cycle-rav-backward-boost	10	10	cycle		
cycle-rav-bounceland	10	10	bounceland		
cycle-rav-forward-ability	10	10	cycle		
cycle-rav-forward-boost	10	10	cycle		
cycle-rav-guild-artifact	10	10	cycle		The unique iconic artifacts for each guild from the original Ravnica block.
cycle-rav-guildhall	10	10	cycle-land		
cycle-rav-guildmaster	10	10	cycle		
cycle-rav-shockland	10	10	shockland		The original cycle of shocklands from Ravnica block.
cycle-rav-signet	10	10	mana-filter		
cycle-rix-c-typal-boost	10	10	cycle		
cycle-rix-draft-signpost	10	10	draft-signpost		
cycle-rtr-m-two-color	10	10	cycle		
cycle-rvr-c-hybrid	10	10	cycle		
cycle-rvr-c-two-color	10	10	cycle		
cycle-rvr-r-guild-spell	10	10	cycle		
cycle-rvr-r-two-color-legend	10	10	cycle		
cycle-rvr-u-two-color	10	10	cycle		
cycle-shm-liege	10	10	cycle		
cycle-slowland	0	10	lands-matter		
cycle-soi-draft-signpost	10	10	draft-signpost		
cycle-spm-c-legend	10	10	cycle		
cycle-spm-draft-signpost	10	10	cycle		
cycle-spm-r-two-color	10	10	cycle		
cycle-tdm-draft-signpost	10	10	draft-signpost		
cycle-tdm-r-tricolor	10	10	cycle		
cycle-thb-draft-signpost	10	10	draft-signpost		
cycle-thb-r-m-two-color	10	10	cycle		
cycle-ths-draft-signpost	10	10	draft-signpost		
cycle-ths-r-two-color	10	10	cycle		
cycle-tkhm-realm-token	10	10	cycle		
cycle-tla-c-hybrid	10	10	cycle		
cycle-tla-c-tapland	10	10	tapland		
cycle-tla-r-two-color	10	10	cycle		
cycle-tla-u-hybrid	10	10	cycle-tla-draft-signpost		
cycle-tla-u-two-color	10	10	cycle-tla-draft-signpost		
cycle-tmt-c-hybrid	10	10	cycle		
cycle-tmt-r-hybrid	10	10	cycle		
cycle-tmt-team-up	10	10	cycle		
cycle-tsp-c-sliver	10	10	cycle		
cycle-unf-draft-signpost	10	10	draft-signpost		
cycle-vma-draft-signpost	10	10	draft-signpost		
cycle-vma-r-two-color	10	10	cycle		
cycle-vow-draft-signpost	10	10	draft-signpost		
cycle-vow-r-two-color-legend	10	10	cycle		
cycle-war-draft-signpost	10	10	draft-signpost		
cycle-war-hybrid-planeswalker	10	10	cycle		
cycle-war-u-planeswalker	10	10	cycle		
cycle-war-u-two-color-spell	10	10	cycle		
cycle-woe-draft-signpost	10	10	draft-signpost		
cycle-woe-r-2c-adventurer	10	10	cycle		
cycle-woe-u-2c-adventurer	10	10	cycle		
cycle-znr-draft-signpost	10	10	draft-signpost		
cycle-znr-two-color-legend	10	10	cycle		
freeze-artifact	10	10	freeze		
freeze-land	10	10	freeze		
future-sight-engine	10	10	play-from-top		Cards that reveal the top card of your library and conditionally play it. See also [precognition engine](/tags/card/precognition-engine) for a more recent variant in this vein.
gives-horsemanship	10	10	gives-evasion		
gives-wither	10	10			
great-designer-search-3	10	10			Cards that are directly from or seemingly inspired by card designs from The Great Designer Search 3, a competition to find new magic designers.
grind	10	10	mill		Mill cards until N land cards are milled.
hate-first-strike	10	10	hate		
hate-graveyard-cast	10	10	hate		
lockdown-land	10	10	lockdown		
morphling	10	10	flowstone		Cards with flowstone and capacity to gain additional abilities or evasion.
old-fight	10	10	deprecated-mechanics		Before Fight was keyworded in Innistrad, it was a one-then-the-other procedure spelled out in oracle text.
orochi-ability	10	10	freeze		Freeze creatures with combat damage. This ability was used on Orochi in Kamigawa.
reminder-card	10	10	helper-card		Cards that remind you of your game state.
rummage-to-library	10	10	tuck-outlet		Rummage with the discarded cards tucked in your library.
share-counters	10	10			Put counters on stuff based on other counters on other permanents.
sneak-aura	10	10	sneak		
synergy-1-1	10	10	specific-toughness-matters		Cards that synergize with creatures that are specifically 1/1.
synergy-art-sticker	10	10	synergy-sticker		
synergy-flash	10	10			
synergy-incubator	10	10			
synergy-suspect	10	10			
synergy-toxic	10	10			
synergy-untapped	10	10			Effects that care about other untapped permanents. For cards that care about the *action* of untapping a permanent, see [inspired](inspired). For permanents that care about being untapped themselves, see [untapped matters-self](untapped-matters-self).
text-change-color	10	10	text-change		
turn-face-down	10	10	face-up-face-down-effects		
tutor-creature-rebel	10	10	tutor-creature		Cards that tutor Rebel cards.
typal-fungus	10	10	typal-creature		
typal-robot	10	10	typal-creature		
undergrowth-all	10	10	undergrowth		Cards that care about the amount of creatures card in all graveyards.
unique-mana-symbol	10	10			Cards with mana symbols that only appear on them.
wheel-symmetrical-optional	10	10	wheel-symmetrical		Each player can choose whether to wheel or not
animate-planeswalker	9	9	animate		Effects that turn planeswalkers into creatures.
any-zone-type-change	9	9	type-change		These cards change types in every and any zone.
border-color-matters	9	9	un-set-mechanics		
buff-pact	9	9			Tap something to buff a creature; if that creature leaves play, destroy whatever buffed it. Was also used as an early way to represent vehicles/mounts.
chain-spell	9	9			Spells that let their victims copy them, effectively chaining around the table until someone doesn't/can't.
counter-fuel-fade	9	9	counter-fuel		
counter-fuel-keyword	9	9	counter-fuel		
differently-named-lands-matter	9	9	name-matters		These cards want you to have multiple lands with different names.
dolmen-ability	9	9	damage-prevention		Derived from the titular card, this ability prevents all combat damage that would be dealt to attacking creatures you control. Other conditions may apply.
eldrazi-titan	9	9			The various Eldrazi Titan trios.
end-turn	9	9			
form	9	9			Cards with the intent of "transforming you" into something, usually involving various benefits and drawbacks.
format-matters	9	9	un-set-mechanics		
gives-lifelink-noncreature	9	9	lifegain		
gives-myriad	9	9	per-player		
gives-toxic	9	9	poison-mechanics		
gives-unearth	9	9	reanimate		
hate-color-every	9	9			
hate-etb	9	9			Disrupts enters-the-battlefield triggers
hats-matter	9	9	art-matters		Cards that care about hats appearing in card art.
imprinted-card-types-matter	9	9	imprint		Cards that care about the card types of other cards that they've exiled with a linked ability.
jackal-pup-ability	9	9	enrage		Whenever a creature is dealt damage, it deals that much damage to its controller.
karnstructs	9	9	cranial-plating		Cards that make the same construct tokens as Karn, Scion of Urza.
loot-to-library	9	9	tuck-outlet		Draw, then shuffle cards into your library or put them on the bottom of it. Contrast [brainstorm](brainstorm).
mutiny	9	9			Cards that can make multiple creatures under the same players control fight (or [bite](one-sided-fight))
nimble	9	9	power-matters		"Can't be blocked by creatures with power 3 or greater", an opposite of [daunt](daunt) first seen on Amrou Kithkin and first named in Mystery Booster 2. See also [gives nimble](gives-nimble).
no-creature-type	9	9			Creatures without any creature types
omnivore-ability	9	9	scales-with-damage-dealt		A creature's combat damage effectively hits multiple opponents.
peek-face-down	9	9	peek		Cards that allow you to look at face-down creatures you don't control.
pile-card	9	9	helper-card		A "put things here" card.
power-nine	9	9			Nine rare cards from Alpha considered to be the most powerful nine cards in the entire game.
prevent-etb	9	9			Cards that prevent permanents from entering the battlefield.
pseudo-leveler	9	9			Creatures with abilities that add incremental layers of growth.
reanimate-face-down	9	9	reanimate		
reanimate-vehicle	9	9	reanimate		
sacrifice-cost-land	9	9			Lands that require you to sacrifice another land before they come into play.
show-and-tell	9	9	symmetrical		Each player puts stuff from their hand onto the battlefield.
super-pridemate	9				Put +1/+1 counters equal to the amount of life gained.
synergy-color-every	9				Cards that want all five colors to be present. See also [synergy-color-each](synergy-color-each) for effects that still scale up based on the number of colors, but don't necessarily need you to have all five.
synergy-foretell	9				
synergy-initiative	9				
synergy-protection	9				
token-replacer	9				Cards that completely replace the tokens that will be created with other tokens.
transform-mirror	9				Cards that mirror themselves mechanically when they transform
tutor-cast	9				Cards that tutor something and cast it immediately.
tutor-interaction	9				
tutor-land-desert	9				Cards that tutor Desert cards.
tutor-planeswalker	9				Cards that tutor planeswalker cards.
typal-bear	9				
typal-horror	9				
typal-multi-sea-monster	9				Kraken, Leviathan, Octopus, Serpent. Sometimes merfolk join in too.
typal-rabbit	9				
ante-matters	8				Ante is a depreciated game mechanic where players would remove the top card of their deck from the game and give it to their opponent if they lose. Some early cards in magic would have effects that allowed players to ante more cards for effects.
bablovian-faction-leader	8				
cda-subtype	8				
checklist-card	8				
circle-of-protection	8				Enchantments with activated abilities that prevent damage from a chosen source.
conjure-artifact-creature	8				Cards that conjure artifact creatures.
counterspell-planeswalker	8				
counterspell-sweeper	8				Counter ALL the things!
cycle-c17-alt-commander	8				
cycle-c18-alt-commander	8				
cycle-c19-alt-commander	8				
cycle-lrw-harbinger	8				
cycle-lrw-typal-legend	8				
cycle-lrw-typal-lord	8				
cycle-ons-typal-land	8				
cycle-tlrw-typal-token	8				
cycle-xln-draft-signpost	8				
dnd-book	8				Cards that are named after an actual printed Dungeons and Dragons book or adventure module.
empty-library	8				Cards that respond to an empty library.
etb-untapper	8				Cards that make things enter the battlefield untapped.
eternalize	8				Make 4/4 copies of creatures in graveyards.
fake-flying	8				Creatures without flying that can't be blocked except by creatures with flying or reach. See also [gives fake flying](gives-fake-flying).
fallout-vault-saga	8				
forestfall	8				
fractional-life-damage	8				Cards that dealt ½ damage or gained ½ life from Unhinged
gainland	8				Lands that have you gain life when they enter the battlefield.
gains-banding	8				
gives-afflict	8				
gives-daunt	8				
gives-infect	8				
gives-prowess	8				
gives-unstoppable	8				Make your creatures assign combat damage as though they weren't blocked. See also [unstoppable](unstoppable).
graveyard-fuel-land	8				
hate-counters	8				Cards that hate on counters (the gameplay marker).
hate-cycling	8				
hate-typal-cleric	8				
hate-typal-dragon	8				
hexproof-counter	8				
krarks-other-thumb-effect	8				If you'd roll a die, instead roll that many plus extra, then pick/get the best results.
leaving-graveyard-matters	8				
mirror-gallery	8				Cards that void the legendary rule, allowing you to have multiple copies of legendary permanents on the battlefield
persecution-effect	8				Some creatures get +N/+N, while other creatures get -N/-N
phasing-matters	8				Cards that care about phasing, e.g. by seeing permanents phase in/out or by preventing phasing.
prevent-trigger	8				
prowess-anthem	8				Whenever you cast a noncreature spell, all of your creatures get bigger.
pseudo-hexproof	8				Cards that do something very much like hexproof, but not hexproof.
purgatory	8				When your permanents die, they're stored in a holding area where they can come back after a delay.
rarity-matters	8				
repeatable-mutagens	8				
rescue-enchantment	8				
restock-artifact	8				
restores-old-rule	8				Cards that have an effect that effectively brings back a rule that was changed or removed
royal-assassin-ability	8				Activated abilities that remove tapped creatures.
synergy-augment	8				
synergy-exhaust	8				
synergy-explore	8				
synergy-goad	8				
synergy-vote	8				
time-matters	8				
tongue-twister	8				Try saying any of these card names three times fast!
tuck-outlet	8				Cards that let you put cards from your hand into your library.
tutor-land-gate	8				Cards that tutor Gate cards.
typal-detective	8				
typal-illusion	8				
typal-raccoon	8				
typal-skeleton	8				
